variant,ratio_nat,neg_weight,unsafe_weight,seed,train_rows,threshold,cal_activations,cal_tp,cal_unsafe,cal_net_saved
A,0.5,2.0,20.0,42,1172,0.05,72,12,0,155.6
A,0.5,2.0,20.0,137,1172,0.05,87,12,0,145.1
A,0.5,2.0,20.0,271,1172,0.08,62,10,0,140.6
A,0.5,2.0,20.0,512,1172,0.05,80,12,0,150.0
A,0.5,2.0,20.0,1337,1172,0.08,58,10,0,143.4
A,0.5,2.0,20.0,2027,1172,0.05,81,12,0,149.3
A,0.5,2.0,20.0,4099,1172,0.05,79,12,0,150.7
A,0.5,2.0,20.0,8191,1172,0.05,88,12,0,144.4
A,0.5,2.0,20.0,16381,1172,0.05,83,12,0,147.9
A,0.5,2.0,20.0,65537,1172,0.05,84,12,0,147.2
A,0.5,2.0,50.0,42,1172,0.05,78,12,0,151.4
A,0.5,2.0,50.0,137,1172,0.08,66,10,0,137.8
A,0.5,2.0,50.0,271,1172,0.1,54,9,0,134.2
A,0.5,2.0,50.0,512,1172,0.1,54,10,0,146.2
A,0.5,2.0,50.0,1337,1172,0.08,63,10,0,139.9
A,0.5,2.0,50.0,2027,1172,0.05,93,12,0,140.9
A,0.5,2.0,50.0,4099,1172,0.08,64,10,0,139.2
A,0.5,2.0,50.0,8191,1172,0.05,96,12,0,138.8
A,0.5,2.0,50.0,16381,1172,0.08,67,10,0,137.1
A,0.5,2.0,50.0,65537,1172,0.05,95,12,0,139.5
A,0.5,2.0,100.0,42,1172,0.05,87,11,0,134.1
A,0.5,2.0,100.0,137,1172,0.1,58,9,0,132.4
A,0.5,2.0,100.0,271,1172,0.05,110,12,0,129.0
A,0.5,2.0,100.0,512,1172,0.08,73,10,0,132.9
A,0.5,2.0,100.0,1337,1172,0.1,57,9,0,133.1
A,0.5,2.0,100.0,2027,1172,0.08,83,11,0,136.9
A,0.5,2.0,100.0,4099,1172,0.08,70,10,0,135.0
A,0.5,2.0,100.0,8191,1172,0.08,93,11,0,129.9
A,0.5,2.0,100.0,16381,1172,0.08,76,10,0,130.8
A,0.5,2.0,100.0,65537,1172,0.05,110,12,0,129.0
A,0.5,5.0,20.0,42,1172,0.05,68,11,0,148.4
A,0.5,5.0,20.0,137,1172,0.05,72,12,0,155.6
A,0.5,5.0,20.0,271,1172,0.05,72,12,0,155.6
A,0.5,5.0,20.0,512,1172,0.05,73,12,0,154.9
A,0.5,5.0,20.0,1337,1172,0.08,57,10,0,145.1
A,0.5,5.0,20.0,2027,1172,0.08,56,11,0,155.8
A,0.5,5.0,20.0,4099,1172,0.05,78,11,0,140.4
A,0.5,5.0,20.0,8191,1172,0.05,80,12,0,150.0
A,0.5,5.0,20.0,16381,1172,0.05,80,12,0,150.0
A,0.5,5.0,20.0,65537,1172,0.08,57,11,0,155.1
A,0.5,5.0,50.0,42,1172,0.05,72,12,0,155.6
A,0.5,5.0,50.0,137,1172,0.05,76,11,0,141.8
A,0.5,5.0,50.0,271,1172,0.08,61,10,0,141.3
A,0.5,5.0,50.0,512,1172,0.08,56,10,0,144.8
A,0.5,5.0,50.0,1337,1172,0.08,59,10,0,142.7
A,0.5,5.0,50.0,2027,1172,0.08,61,11,0,152.3
A,0.5,5.0,50.0,4099,1172,0.05,79,12,0,150.7
A,0.5,5.0,50.0,8191,1172,0.08,61,11,0,152.3
A,0.5,5.0,50.0,16381,1172,0.05,83,12,0,147.9
A,0.5,5.0,50.0,65537,1172,0.05,83,12,0,147.9
A,0.5,5.0,100.0,42,1172,0.05,73,12,0,154.9
A,0.5,5.0,100.0,137,1172,0.08,65,10,0,138.5
A,0.5,5.0,100.0,271,1172,0.1,57,10,0,144.1
A,0.5,5.0,100.0,512,1172,0.1,52,10,0,147.6
A,0.5,5.0,100.0,1337,1172,0.08,60,10,0,142.0
A,0.5,5.0,100.0,2027,1172,0.05,86,12,0,145.8
A,0.5,5.0,100.0,4099,1172,0.08,58,10,0,143.4
A,0.5,5.0,100.0,8191,1172,0.05,90,12,0,143.0
A,0.5,5.0,100.0,16381,1172,0.1,53,10,0,146.9
A,0.5,5.0,100.0,65537,1172,0.1,56,10,0,144.8
A,0.33,2.0,20.0,42,1775,0.05,85,12,0,146.5
A,0.33,2.0,20.0,137,1775,0.05,80,12,0,150.0
A,0.33,2.0,20.0,271,1775,0.05,84,12,0,147.2
A,0.33,2.0,20.0,512,1775,0.05,84,12,0,147.2
A,0.33,2.0,20.0,1337,1775,0.08,63,11,0,150.9
A,0.33,2.0,20.0,2027,1775,0.05,86,12,0,145.8
A,0.33,2.0,20.0,4099,1775,0.05,82,12,0,148.6
A,0.33,2.0,20.0,8191,1775,0.08,62,11,0,151.6
A,0.33,2.0,20.0,16381,1775,0.05,83,12,0,147.9
A,0.33,2.0,20.0,65537,1775,0.05,83,12,0,147.9
A,0.33,2.0,50.0,42,1775,0.08,67,10,0,137.1
A,0.33,2.0,50.0,137,1775,0.08,62,10,0,140.6
A,0.33,2.0,50.0,271,1775,0.08,68,10,0,136.4
A,0.33,2.0,50.0,512,1775,0.1,56,10,0,144.8
A,0.33,2.0,50.0,1337,1775,0.05,86,12,0,145.8
A,0.33,2.0,50.0,2027,1775,0.08,71,10,0,134.3
A,0.33,2.0,50.0,4099,1775,0.08,62,10,0,140.6
A,0.33,2.0,50.0,8191,1775,0.05,92,12,0,141.6
A,0.33,2.0,50.0,16381,1775,0.08,68,10,0,136.4
A,0.33,2.0,50.0,65537,1775,0.08,70,10,0,135.0
A,0.33,2.0,100.0,42,1775,0.08,75,10,0,131.5
A,0.33,2.0,100.0,137,1775,0.08,68,10,0,136.4
A,0.33,2.0,100.0,271,1775,0.08,83,10,0,125.9
A,0.33,2.0,100.0,512,1775,0.08,72,10,0,133.6
A,0.33,2.0,100.0,1337,1775,0.08,71,10,0,134.3
A,0.33,2.0,100.0,2027,1775,0.08,82,10,0,126.6
A,0.33,2.0,100.0,4099,1775,0.08,66,10,0,137.8
A,0.33,2.0,100.0,8191,1775,0.05,107,12,0,131.1
A,0.33,2.0,100.0,16381,1775,0.08,72,10,0,133.6
A,0.33,2.0,100.0,65537,1775,0.08,82,10,0,126.6
A,0.33,5.0,20.0,42,1775,0.05,72,12,0,155.6
A,0.33,5.0,20.0,137,1775,0.05,69,12,0,157.7
A,0.33,5.0,20.0,271,1775,0.05,75,12,0,153.5
A,0.33,5.0,20.0,512,1775,0.05,77,12,0,152.1
A,0.33,5.0,20.0,1337,1775,0.05,76,12,0,152.8
A,0.33,5.0,20.0,2027,1775,0.05,80,12,0,150.0
A,0.33,5.0,20.0,4099,1775,0.05,75,12,0,153.5
A,0.33,5.0,20.0,8191,1775,0.05,74,12,0,154.2
A,0.33,5.0,20.0,16381,1775,0.05,75,12,0,153.5
A,0.33,5.0,20.0,65537,1775,0.05,76,12,0,152.8
A,0.33,5.0,50.0,42,1775,0.05,75,12,0,153.5
A,0.33,5.0,50.0,137,1775,0.05,72,12,0,155.6
A,0.33,5.0,50.0,271,1775,0.05,81,12,0,149.3
A,0.33,5.0,50.0,512,1775,0.05,78,12,0,151.4
A,0.33,5.0,50.0,1337,1775,0.05,78,12,0,151.4
A,0.33,5.0,50.0,2027,1775,0.1,53,10,0,146.9
A,0.33,5.0,50.0,4099,1775,0.05,80,12,0,150.0
A,0.33,5.0,50.0,8191,1775,0.08,60,11,0,153.0
A,0.33,5.0,50.0,16381,1775,0.05,77,11,0,141.1
A,0.33,5.0,50.0,65537,1775,0.05,80,12,0,150.0
A,0.33,5.0,100.0,42,1775,0.08,63,10,0,139.9
A,0.33,5.0,100.0,137,1775,0.05,83,12,0,147.9
A,0.33,5.0,100.0,271,1775,0.1,55,10,0,145.5
A,0.33,5.0,100.0,512,1775,0.08,60,10,0,142.0
A,0.33,5.0,100.0,1337,1775,0.05,81,12,0,149.3
A,0.33,5.0,100.0,2027,1775,0.1,55,10,0,145.5
A,0.33,5.0,100.0,4099,1775,0.08,60,10,0,142.0
A,0.33,5.0,100.0,8191,1775,0.05,85,12,0,146.5
A,0.33,5.0,100.0,16381,1775,0.08,66,10,0,137.8
A,0.33,5.0,100.0,65537,1775,0.08,61,10,0,141.3
A,0.67,2.0,20.0,42,874,0.05,78,12,0,151.4
A,0.67,2.0,20.0,137,874,0.05,81,11,0,138.3
A,0.67,2.0,20.0,271,874,0.05,79,12,0,150.7
A,0.67,2.0,20.0,512,874,0.05,89,12,0,143.7
A,0.67,2.0,20.0,1337,874,0.05,78,12,0,151.4
A,0.67,2.0,20.0,2027,874,0.05,80,12,0,150.0
A,0.67,2.0,20.0,4099,874,0.05,82,12,0,148.6
A,0.67,2.0,20.0,8191,874,0.05,98,12,0,137.4
A,0.67,2.0,20.0,16381,874,0.05,79,12,0,150.7
A,0.67,2.0,20.0,65537,874,0.08,59,11,0,153.7
A,0.67,2.0,50.0,42,874,0.05,83,12,0,147.9
A,0.67,2.0,50.0,137,874,0.05,88,12,0,144.4
A,0.67,2.0,50.0,271,874,0.05,96,11,0,127.8
A,0.67,2.0,50.0,512,874,0.05,104,12,0,133.2
A,0.67,2.0,50.0,1337,874,0.05,82,12,0,148.6
A,0.67,2.0,50.0,2027,874,0.05,83,12,0,147.9
A,0.67,2.0,50.0,4099,874,0.05,91,12,0,142.3
A,0.67,2.0,50.0,8191,874,0.05,110,12,0,129.0
A,0.67,2.0,50.0,16381,874,0.05,86,12,0,145.8
A,0.67,2.0,50.0,65537,874,0.08,67,10,0,137.1
A,0.67,2.0,100.0,42,874,0.05,87,12,0,145.1
A,0.67,2.0,100.0,137,874,0.05,100,12,0,136.0
A,0.67,2.0,100.0,271,874,0.05,110,12,0,129.0
A,0.67,2.0,100.0,512,874,0.05,110,12,0,129.0
A,0.67,2.0,100.0,1337,874,0.05,87,12,0,145.1
A,0.67,2.0,100.0,2027,874,0.08,72,11,0,143.6
A,0.67,2.0,100.0,4099,874,0.1,54,9,0,135.2
A,0.67,2.0,100.0,8191,874,0.05,110,12,0,129.0
A,0.67,2.0,100.0,16381,874,0.08,77,11,0,141.1
A,0.67,2.0,100.0,65537,874,0.08,74,10,0,132.2
A,0.67,5.0,20.0,42,874,0.05,75,12,0,153.5
A,0.67,5.0,20.0,137,874,0.08,54,10,0,147.2
A,0.67,5.0,20.0,271,874,0.05,74,12,0,154.2
A,0.67,5.0,20.0,512,874,0.05,81,12,0,149.3
A,0.67,5.0,20.0,1337,874,0.08,54,10,0,147.2
A,0.67,5.0,20.0,2027,874,0.08,57,11,0,154.1
A,0.67,5.0,20.0,4099,874,0.05,81,12,0,149.3
A,0.67,5.0,20.0,8191,874,0.05,92,12,0,141.6
A,0.67,5.0,20.0,16381,874,0.08,61,11,0,152.3
A,0.67,5.0,20.0,65537,874,0.05,79,12,0,150.7
A,0.67,5.0,50.0,42,874,0.05,76,12,0,152.8
A,0.67,5.0,50.0,137,874,0.08,57,10,0,145.1
A,0.67,5.0,50.0,271,874,0.08,60,10,0,142.0
A,0.67,5.0,50.0,512,874,0.05,89,12,0,143.7
A,0.67,5.0,50.0,1337,874,0.08,55,10,0,146.5
A,0.67,5.0,50.0,2027,874,0.08,59,11,0,152.7
A,0.67,5.0,50.0,4099,874,0.05,82,12,0,148.6
A,0.67,5.0,50.0,8191,874,0.05,96,12,0,138.8
A,0.67,5.0,50.0,16381,874,0.08,63,11,0,150.9
A,0.67,5.0,50.0,65537,874,0.05,81,12,0,149.3
A,0.67,5.0,100.0,42,874,0.05,77,12,0,152.1
A,0.67,5.0,100.0,137,874,0.05,85,11,0,135.5
A,0.67,5.0,100.0,271,874,0.08,70,10,0,135.0
A,0.67,5.0,100.0,512,874,0.05,99,12,0,136.7
A,0.67,5.0,100.0,1337,874,0.08,60,11,0,153.0
A,0.67,5.0,100.0,2027,874,0.08,65,11,0,148.5
A,0.67,5.0,100.0,4099,874,0.05,86,12,0,145.8
A,0.67,5.0,100.0,8191,874,0.08,85,11,0,135.5
A,0.67,5.0,100.0,16381,874,0.05,84,12,0,147.2
A,0.67,5.0,100.0,65537,874,0.1,56,10,0,144.8
